Index,TargetID,ProbeID_A,ProbeID_B
1,cg00000292,990370,6660678
2,cg00002426,6580397,6100343
3,cg00003994,7150184,7150392
4,cg00005847,4850717,1260113
5,cg00006414,6980731,4280093
6,cg00007981,5260689,6860356
7,cg00008493,7200647,2900438
8,cg00008713,6860184,3780392
9,cg00009407,4230376,6380376
10,cg00010193,4780008,1580192
11,cg00011459,3120296,7320368
12,cg00012199,6200228,6200154
13,cg00012386,6840377,1510390
14,cg00012792,1340541,990678
15,cg00013618,1410673,670594
16,cg00014085,1240274,1780240
17,cg00014837,2970333,2190632
18,cg00015770,50767,4730626
19,cg00016968,5560324,5560008
20,cg00019495,6550136,6220044
21,cg00020533,450348,6250538
22,cg00021527,6590468,5860189
23,cg00022606,3400286,1340605
24,cg00022866,5360609,1660711
25,cg00024396,5310520,6040047
26,cg00024812,730037,5820270
27,cg00025138,6200673,4390673
28,cg00025991,6520333,6520730
29,cg00027083,6560343,3130220
30,cg00027674,7320241,1240554
31,cg00029826,6580324,2650475
32,cg00029931,3170368,630280
33,cg00030047,2000097,3610672
34,cg00031162,5090386,6330681
35,cg00032227,4040521,4070767
36,cg00032666,1300465,4810100
37,cg00033516,6840097,1510672
38,cg00033773,6250288,2070121
39,cg00034039,4260711,7610458
40,cg00035347,5360382,1660300
41,cg00035623,2030598,2030292
42,cg00037763,3420273,5130161
43,cg00037940,6220097,1990093
44,cg00040861,3800639,2350221
45,cg00040873,5960433,5960349
46,cg00041575,2350332,4210634
47,cg00042156,4670300,4200041
48,cg00043004,2030192,2030475
49,cg00043080,6480400,7050390
50,cg00044245,3710373,5810373
51,cg00044729,10736,7050129
52,cg00047050,1110097,4010386
53,cg00047469,3610468,2570441
54,cg00049986,1690278,520484
55,cg00050312,4150136,1940768
56,cg00051623,6840594,1510673
57,cg00051979,1940706,4730240
58,cg00053292,7320669,1240307
59,cg00053647,5360189,1660524
60,cg00054706,4880059,4880719
61,cg00055233,130678,4880370
62,cg00056767,5720424,6520301
63,cg00057593,520450,4830682
64,cg00058938,990215,6660278
65,cg00059225,3390672,3850414
66,cg00059424,3400458,1340092
67,cg00059740,4070327,6900095
68,cg00059930,1980551,1050551
69,cg00060762,4570678,3990242
70,cg00060882,7200242,2900541
71,cg00061059,4890075,7100133
72,cg00061629,2230014,5360014
73,cg00062776,2260095,1030327
74,cg00063144,770132,1190204
75,cg00065385,6840689,1510356
76,cg00065408,3460019,510538
77,cg00066153,7550402,1230184
78,cg00066816,7570747,7570328
79,cg00067471,10072,2680291
80,cg00069261,4060014,7570035
81,cg00071250,1260209,2600202
82,cg00071998,430563,430561
83,cg00072216,650523,2760468
84,cg00073650,3310519,540164
85,cg00075967,5820528,4150129
86,cg00076645,2480452,2970452
87,cg00077457,3990681,3170086
88,cg00077877,2360201,7550477
89,cg00078194,1230563,3190563
90,cg00078867,2060669,2060736
91,cg00079056,1240241,1780554
92,cg00079563,6290669,7100307
93,cg00080012,1110519,770414
94,cg00081935,6660184,3170626
95,cg00081975,770753,1190551
96,cg00083720,6960201,5050239
97,cg00083937,3060176,2850487
98,cg00084687,780161,4060220
99,cg00089071,1780646,610112
100,cg00090147,3800398,2350040
101,cg00091693,6290731,7100187
102,cg00093177,7000114,4860544
103,cg00094319,6330594,4540333
104,cg00094851,6270309,3060259
105,cg00095526,7650368,5900376
106,cg00095674,6660047,5670047
107,cg00096922,5220386,6370608
108,cg00097536,990546,6660669
109,cg00098162,830086,5910689
110,cg00098239,110687,6100240
111,cg00099550,6130711,3370458
112,cg00101227,1940019,780014
113,cg00103783,6400450,5390372
114,cg00105253,4210521,4210767
115,cg00105470,1740224,4760224
116,cg00107187,5560471,4920255
117,cg00107488,1470438,1260059
118,cg00107632,6650537,2750537
119,cg00108454,5220605,6370735
120,cg00109274,1300280,4810477
121,cg00112517,830471,830438
122,cg00113020,2340201,4610239
123,cg00113951,1500128,3870470
124,cg00115714,2100497,2940328
125,cg00116234,2940687,3940564
126,cg00116838,6380037,6380056
127,cg00117172,2450594,2370673
128,cg00119079,3130730,3130358
129,cg00121158,2480398,2970719
130,cg00121640,5900255,5900332
131,cg00121904,6400376,5390446
132,cg00123035,4570524,3990593
133,cg00126034,60136,4570044
134,cg00126657,540202,5090209
135,cg00126698,770747,1190328
136,cg00128197,3830519,360551
137,cg00128560,1820176,3420487
138,cg00128654,3710687,4120014
139,cg00128766,4260070,7610102
140,cg00128877,2750750,3710709
141,cg00129774,6590626,4880647
142,cg00131121,6060201,2360131
143,cg00131557,4150041,6860717
144,cg00132141,6660148,1230274
145,cg00133909,5420601,460008
146,cg00134539,3130156,6520379
147,cg00134787,1940475,780475
148,cg00135056,2190228,3930296
149,cg00135393,2940035,3940519
150,cg00136105,2480113,2970113
151,cg00136405,2750500,3710195
152,cg00136477,2490403,2070189
153,cg00136736,940673,1500577
154,cg00138126,450433,6250441
155,cg00141162,5340563,940215
156,cg00141550,3890725,50372
157,cg00141845,990646,6660546
158,cg00143376,630725,2630682
159,cg00143998,4200408,1820408
160,cg00145118,6960356,6550392
161,cg00145348,3370192,1410475
162,cg00146096,1990070,3310309
163,cg00149659,3610400,2570390
164,cg00149976,1570524,3840524
165,cg00151234,2640292,6110609
166,cg00151607,870184,7210332
167,cg00152644,4860446,6270338
168,cg00155167,4860369,6270408
169,cg00155485,60164,4570753
170,cg00155609,4920537,5890368
171,cg00156216,5570040,290605
172,cg00156744,6350167,7650626
173,cg00158308,7570220,7510070
174,cg00160914,6590524,5860722
175,cg00162401,5810687,430609
176,cg00162643,4260221,1990523
177,cg00164041,2120392,3290661
178,cg00164898,3850044,2710044
179,cg00165981,6450131,1400161
180,cg00167504,130201,4880477
181,cg00168082,2510079,2230600
182,cg00168785,4120731,6290035
183,cg00168942,6290673,7100358
184,cg00169548,6960093,5050731
185,cg00171126,60014,4570408
186,cg00171161,3850400,3850377
187,cg00174500,5870152,5960554
188,cg00174901,5340754,940446
189,cg00176210,520364,4830411
190,cg00176879,4390739,770471
191,cg00177013,5550239,510653
192,cg00177698,2940541,3940138
193,cg00177923,4760768,1300768
194,cg00178790,2750437,2750669
195,cg00179446,6520196,1170719
196,cg00180012,7510411,7040273
197,cg00180631,6450338,4250458
198,cg00182461,7000307,4860437
199,cg00183782,4290114,60743
200,cg00183916,4280563,3520561
201,cg00184884,7510519,7040551
202,cg00184893,4570053,3990068
203,cg00185103,6620259,7210465
204,cg00185839,7650356,5900646
205,cg00186141,840424,4260402
206,cg00186701,1030537,1690368
207,cg00186954,6020605,1740735
208,cg00187380,5860132,650112
209,cg00187686,1580292,1770722
210,cg00188348,5490349,7330112
211,cg00191052,990195,6660132
212,cg00194146,1690333,520358
213,cg00195561,6280189,2470524
214,cg00197381,730598,5820598
215,cg00197641,2060059,6560544
216,cg00199549,5960689,1010356
217,cg00200063,1430441,2100075
218,cg00201234,5670392,6290019
219,cg00202702,5820300,4150270
220,cg00202711,4250343,4200762
221,cg00204262,3190463,270541
222,cg00206052,6840743,1510296
223,cg00207534,4570674,3990382
224,cg00208830,3990162,3170553
225,cg00208967,4830592,4640184
226,cg00209066,4860735,6270066
227,cg00209951,2060373,1170402
228,cg00210842,4890524,6980593
229,cg00211661,1500605,3870735
230,cg00212549,2750433,2750088
231,cg00213044,130768,4880681
232,cg00213331,2970377,6020377
233,cg00213714,5890601,5890324
234,cg00214346,2970168,6020463
235,cg00214794,1430201,2100326
236,cg00214855,4490411,6420280
237,cg00215066,6660470,5670142
238,cg00216361,2640307,6110736
239,cg00216758,4220041,870037
240,cg00217795,2630717,20594
241,cg00221494,360619,4040408
242,cg00223186,2340477,6180142
243,cg00223950,2360739,7550044
244,cg00224234,2360189,7550639
245,cg00224508,2900114,730743
246,cg00226904,4560491,1470491
247,cg00226923,6560538,6560070
248,cg00228799,5860373,5860224
249,cg00229387,1050187,4900528
250,cg00230271,3310446,540639
251,cg00230368,5860706,130138
252,cg00230502,2690491,3870128
253,cg00230685,5490411,7330139
254,cg00231140,1340139,990307
255,cg00231644,5670307,1740332
256,cg00231920,4880484,3460520
257,cg00233307,5890577,6400128
258,cg00234616,7400608,630292
259,cg00234961,6580053,2650538
260,cg00236832,1980674,1050553
261,cg00237010,4010356,2510224
262,cg00238052,2030240,2490240
263,cg00239071,2510600,2230291
264,cg00239419,3710471,5810471
265,cg00239685,5860491,7570544
266,cg00240312,2650750,4120750
267,cg00240432,5220100,6370170
268,cg00240880,830747,5910692
269,cg00241355,670035,670551
270,cg00242839,6590288,5860056
271,cg00243313,2690110,1070110
272,cg00245878,2490674,2070382
273,cg00247489,2600402,150424
274,cg00250430,6760681,4290086
275,cg00253200,6940382,7200553
276,cg00256074,5090446,1450762
277,cg00256166,360332,4040471
278,cg00256281,60068,4570541
279,cg00259755,3180632,380129
280,cg00260778,630730,2630730
281,cg00261552,1770673,650673
282,cg00261781,7380204,6480288
283,cg00262415,6770424,6770685
284,cg00263723,4490554,6420441
285,cg00263760,6580543,2650440
286,cg00265415,5130022,2000451
287,cg00265490,2350148,4490195
288,cg00268009,2320022,70445
289,cg00268338,4290192,60475
290,cg00269115,990669,6660307
291,cg00269932,580373,5310224
292,cg00273068,2030142,2490142
293,cg00273124,6280537,6280452
294,cg00274399,1710451,6960445
295,cg00275232,6940242,7200678
296,cg00276797,5860202,130504
297,cg00278366,4250097,7160672
298,cg00279797,6580240,6580209
299,cg00280814,5900707,5900619
300,cg00280894,6960471,5050255
301,cg00282347,7150187,7150528
302,cg00282683,1990379,3310184
303,cg00283535,1400554,6180468
304,cg00288562,6560131,7100367
305,cg00290028,2450762,2760672
306,cg00290506,6770451,5560451
307,cg00291877,5570673,290717
308,cg00292662,2810424,7100382
309,cg00292971,5910241,1190333
310,cg00293409,1300162,4810553
311,cg00294382,2810504,2810148
312,cg00295206,5890528,6400129
313,cg00295325,3780433,6290551
314,cg00296685,4900458,3120196
315,cg00297584,3460736,2690307
316,cg00297600,7400333,5080730
317,cg00298357,6520224,1170750
318,cg00298951,60437,4570646
319,cg00301864,520767,4830154
320,cg00302793,460753,6650753
321,cg00303548,1070491,7040102
322,cg00304278,990392,6660156
323,cg00307685,2680630,6940121
324,cg00308133,2350670,4210132
325,cg00308665,4070435,6900689
326,cg00309056,2340470,4610142
327,cg00309204,4760296,1300228
328,cg00311768,6980543,4280240
329,cg00312919,3060161,2850673
330,cg00314943,6400309,5390538
331,cg00315936,7100161,2190243
332,cg00317680,2260435,1030086
333,cg00318573,1190025,1660706
334,cg00318865,150041,6450037
335,cg00319692,1940092,780092
336,cg00319761,4760475,1300598
337,cg00320243,1770521,650228
338,cg00321065,6380176,6060487
339,cg00321478,4480356,3360431
340,cg00323915,1010446,4060458
341,cg00324733,2190300,2630286
342,cg00325491,2600242,150138
343,cg00327185,7100546,2190546
344,cg00327483,4220471,4220438
345,cg00328227,5260475,6860598
346,cg00331237,6900626,2640324
347,cg00331433,6860112,3780546
348,cg00332153,2750672,3710608
349,cg00332745,3310368,540411
350,cg00333226,5090484,1450156
351,cg00333528,4250128,7160500
352,cg00334507,3130041,6520037
353,cg00335286,7100241,2190241
354,cg00336605,1300661,4810523
355,cg00338702,4890278,6980762
356,cg00338893,520528,4830187
357,cg00340102,6350142,7650630
358,cg00342530,5910725,4220450
359,cg00343092,7150082,7150301
360,cg00344358,940403,4850639
361,cg00344372,520390,4830703
362,cg00344709,4570521,3990767
363,cg00346145,4640463,5870168
364,cg00347729,5670612,7400577
365,cg00347904,6290347,7100280
366,cg00350296,6770544,6770592
367,cg00350478,520563,4830221
368,cg00350702,3400332,1340682
369,cg00351011,4880669,6380400
370,cg00353953,3310673,540730
371,cg00354258,3400209,1340176
372,cg00354572,4610243,7200307
373,cg00355802,7210253,6840193
374,cg00359325,2570372,5550274
375,cg00359973,5810543,2260100
376,cg00363813,540427,5090427
377,cg00364344,160296,3800463
378,cg00364814,6480161,7050673
379,cg00365193,3440170,4480474
380,cg00367281,7400446,5080338
381,cg00367438,6840138,6420095
382,cg00368022,6660632,5670187
383,cg00368415,4040162,4070553
384,cg00371195,2450553,2370382
385,cg00374717,2490646,2070523
386,cg00375964,160692,6620348
387,cg00376639,5360020,1340451
388,cg00380464,2000445,3610687
389,cg00381076,6370138,6100491
390,cg00382515,4570128,3990470
391,cg00382991,2070168,6400184
392,cg00384537,1260162,3190500
393,cg00386408,6270390,3290646
394,cg00387170,2470020,10133
395,cg00392257,1850672,5270097
396,cg00393585,2230195,5360670
397,cg00394658,2340746,4610768
398,cg00396163,3120082,4890301
399,cg00396894,3890471,50255
400,cg00397545,580167,5310626
401,cg00397740,1170563,1170561
402,cg00398048,2630762,20215
403,cg00399483,7570156,7150112
404,cg00400028,940768,4850746
405,cg00400263,3930270,1440685
406,cg00401678,1980673,3140470
407,cg00402366,5270240,830209
408,cg00403724,7570209,7570202
409,cg00404599,3780435,1850373
410,cg00405070,1690273,520594
411,cg00405568,7150114,2260152
412,cg00405677,4210626,4210035
413,cg00406188,6100382,4060300
414,cg00406844,5810019,2260619
415,cg00407150,4590041,7380743
416,cg00410419,2450333,2370730
417,cg00410576,3800220,3800544
418,cg00410831,5910367,4220367
419,cg00410895,6980241,4280669
420,cg00410898,6450445,1400152
421,cg00410921,780477,780201
422,cg00411097,6370719,1050239
423,cg00412772,2750600,3710246
424,cg00412805,5260162,6860553
425,cg00413066,6400553,5390674
426,cg00415164,2940397,2940091
427,cg00415494,4640687,4640564
428,cg00415978,4250373,4900482
429,cg00415993,3140669,2450736
430,cg00417297,7320520,1240370
431,cg00418150,1570674,3840382
432,cg00419564,6280730,2470358
433,cg00420568,2630301,20187
434,cg00420715,7510289,7040053
435,cg00420929,4830113,4640278
436,cg00422913,110674,110382
437,cg00424946,6590403,5860598
438,cg00425710,1050021,4900678
439,cg00425792,2940025,3940148
440,cg00426056,5090167,240719
441,cg00426498,5670072,7400079
442,cg00426963,2680022,6940451
443,cg00427635,3360168,5220541
444,cg00429618,3180278,380484
445,cg00430287,1300128,4810470
446,cg00430945,3520411,3890364
447,cg00431050,4860743,6270296
448,cg00431114,5360327,1660327
449,cg00431549,670189,3870484
450,cg00432979,5090626,240692
451,cg00433406,4540242,7320678
452,cg00434413,4490333,6420358
453,cg00435408,1850041,5270037
454,cg00436282,6400278,1850551
455,cg00436301,2230397,5360091
456,cg00436603,290725,6590274
457,cg00441136,5890180,6400746
458,cg00441382,6480059,7050719
459,cg00443307,7200086,3450328
460,cg00445824,3130601,3390161
461,cg00446235,7510541,4250315
462,cg00447208,6450754,1400064
463,cg00448720,580592,2060224
464,cg00449941,3140048,2450296
465,cg00451635,3890064,50639
466,cg00453193,610300,240270
467,cg00453258,4390370,770678
468,cg00459975,430603,160307
469,cg00461841,3460132,5310184
470,cg00462311,2320332,2320634
471,cg00462994,3940612,3450128
472,cg00463202,5570327,2690132
473,cg00463577,5490019,5490014
474,cg00463848,6840162,1510553
475,cg00464269,6560553,6560674
476,cg00465284,7210504,6060377
477,cg00465846,1070139,2320523
478,cg00466249,3370100,1410170
479,cg00466436,4830296,4640228
480,cg00466492,1450259,6330259
481,cg00466544,4590754,5490341
482,cg00468146,70288,1400520
483,cg00469635,4060082,540187
484,cg00471562,4390280,6770215
485,cg00472136,3930274,5820026
486,cg00472814,7050564,6130564
487,cg00474004,1340309,990138
488,cg00474209,7610465,6180189
489,cg00475955,7150131,7150653
490,cg00476577,2370100,6550170
491,cg00476580,1240563,3990139
492,cg00479269,1170040,2810286
493,cg00480115,1850138,5270242
494,cg00480209,2940128,3940577
495,cg00480356,6250400,5570377
496,cg00481227,1500014,3870619
497,cg00483154,6560379,6040392
498,cg00485296,4290152,60347
499,cg00485380,5570474,5570072
500,cg00487159,5420632,460528
501,cg00488300,5080368,5810482
502,cg00488364,4200603,4150465
503,cg00488718,4050021,4050678
504,cg00489401,2480673,2970673
505,cg00491404,5870431,5960343
506,cg00491839,2900463,730463
507,cg00493400,2490609,2490671
508,cg00495415,6280601,2470324
509,cg00495442,830474,5910072
510,cg00495491,6660364,5670364
511,cg00496170,4540504,7320348
512,cg00497084,5870725,5960372
513,cg00497251,5560184,7100072
514,cg00498305,6660189,5670189
515,cg00498604,2260168,1030463
516,cg00499599,6400228,6400521
