TargetID,Color_Channel,Next_Base
cg00000292,Red,T
cg00002426,Red,T
cg00003994,Red,T
cg00005847,Grn,C
cg00006414,Grn,C
cg00007981,Red,T
cg00008493,Grn,C
cg00008713,Grn,C
cg00009407,Grn,C
cg00010193,Grn,C
cg00011459,Red,T
cg00012199,Grn,C
cg00012386,Red,T
cg00012792,Red,T
cg00013618,Grn,C
cg00014085,Grn,C
cg00014837,Red,T
cg00015770,Grn,C
cg00016968,Grn,C
cg00019495,Red,T
cg00020533,Red,A
cg00021527,Red,T
cg00022606,Grn,C
cg00022866,Grn,C
cg00024396,Grn,C
cg00024812,Grn,C
cg00025138,Grn,C
cg00025991,Grn,C
cg00027083,Grn,C
cg00027674,Red,T
cg00029826,Red,A
cg00029931,Red,T
cg00030047,Grn,C
cg00031162,Red,T
cg00032227,Red,T
cg00032666,Red,T
cg00033516,Red,T
cg00033773,Red,A
cg00034039,Grn,C
cg00035347,Red,T
cg00035623,Grn,C
cg00037763,Red,T
cg00037940,Grn,C
cg00040861,Grn,C
cg00040873,Grn,C
cg00041575,Grn,C
cg00042156,Red,T
cg00043004,Red,T
cg00043080,Grn,C
cg00044245,Grn,C
cg00044729,Red,T
cg00047050,Grn,C
cg00047469,Grn,C
cg00049986,Grn,C
cg00050312,Red,T
cg00051623,Red,T
cg00051979,Grn,C
cg00053292,Grn,C
cg00053647,Grn,C
cg00054706,Grn,C
cg00055233,Grn,C
cg00056767,Red,T
cg00057593,Red,T
cg00058938,Grn,C
cg00059225,Grn,C
cg00059424,Red,T
cg00059740,Grn,C
cg00059930,Red,T
cg00060762,Red,T
cg00060882,Grn,C
cg00061059,Red,A
cg00061629,Red,T
cg00062776,Grn,C
cg00063144,Grn,C
cg00065385,Red,T
cg00065408,Grn,C
cg00066153,Grn,C
cg00066816,Grn,C
cg00067471,Grn,C
cg00069261,Grn,C
cg00071250,Red,T
cg00071998,Red,A
cg00072216,Grn,C
cg00073650,Red,T
cg00075967,Grn,C
cg00076645,Grn,C
cg00077457,Grn,C
cg00077877,Red,T
cg00078194,Grn,C
cg00078867,Grn,C
cg00079056,Red,T
cg00079563,Grn,C
cg00080012,Grn,C
cg00081935,Red,T
cg00081975,Grn,C
cg00083720,Grn,C
cg00083937,Grn,C
cg00084687,Grn,C
cg00089071,Grn,C
cg00090147,Red,A
cg00091693,Grn,C
cg00093177,Grn,C
cg00094319,Grn,C
cg00094851,Red,A
cg00095526,Red,A
cg00095674,Red,A
cg00096922,Grn,C
cg00097536,Grn,C
cg00098162,Grn,C
cg00098239,Red,T
cg00099550,Grn,C
cg00101227,Grn,C
cg00103783,Red,T
cg00105253,Red,A
cg00105470,Red,T
cg00107187,Grn,C
cg00107488,Red,A
cg00107632,Grn,C
cg00108454,Grn,C
cg00109274,Grn,C
cg00112517,Grn,C
cg00113020,Red,T
cg00113951,Red,A
cg00115714,Grn,C
cg00116234,Red,T
cg00116838,Grn,C
cg00117172,Grn,C
cg00119079,Grn,C
cg00121158,Grn,C
cg00121640,Red,A
cg00121904,Grn,C
cg00123035,Red,A
cg00126034,Grn,C
cg00126657,Grn,C
cg00126698,Grn,C
cg00128197,Grn,C
cg00128560,Red,T
cg00128654,Grn,C
cg00128766,Red,T
cg00128877,Grn,C
cg00129774,Red,A
cg00131121,Red,T
cg00131557,Grn,C
cg00132141,Red,T
cg00133909,Red,T
cg00134539,Red,T
cg00134787,Red,T
cg00135056,Grn,C
cg00135393,Red,T
cg00136105,Grn,C
cg00136405,Red,T
cg00136477,Red,A
cg00136736,Grn,C
cg00138126,Grn,C
cg00141162,Red,T
cg00141550,Grn,C
cg00141845,Red,T
cg00143376,Grn,C
cg00143998,Grn,C
cg00145118,Red,T
cg00145348,Grn,C
cg00146096,Grn,C
cg00149659,Grn,C
cg00149976,Grn,C
cg00151234,Grn,C
cg00151607,Red,T
cg00152644,Red,T
cg00155167,Grn,C
cg00155485,Grn,C
cg00155609,Grn,C
cg00156216,Grn,C
cg00156744,Red,T
cg00158308,Grn,C
cg00160914,Red,A
cg00162401,Red,T
cg00162643,Red,T
cg00164041,Red,T
cg00164898,Grn,C
cg00165981,Grn,C
cg00167504,Red,T
cg00168082,Red,T
cg00168785,Grn,C
cg00168942,Grn,C
cg00169548,Grn,C
cg00171126,Red,T
cg00171161,Red,T
cg00174500,Grn,C
cg00174901,Grn,C
cg00176210,Grn,C
cg00176879,Grn,C
cg00177013,Red,A
cg00177698,Red,A
cg00177923,Grn,C
cg00178790,Grn,C
cg00179446,Red,T
cg00180012,Red,T
cg00180631,Grn,C
cg00182461,Red,T
cg00183782,Grn,C
cg00183916,Grn,C
cg00184884,Red,T
cg00184893,Grn,C
cg00185103,Red,T
cg00185839,Red,A
cg00186141,Grn,C
cg00186701,Red,T
cg00186954,Red,T
cg00187380,Grn,C
cg00187686,Red,T
cg00188348,Red,A
cg00191052,Grn,C
cg00194146,Grn,C
cg00195561,Grn,C
cg00197381,Grn,C
cg00197641,Grn,C
cg00199549,Red,T
cg00200063,Grn,C
cg00201234,Grn,C
cg00202702,Grn,C
cg00202711,Red,A
cg00204262,Grn,C
cg00206052,Grn,C
cg00207534,Red,T
cg00208830,Red,T
cg00208967,Grn,C
cg00209066,Grn,C
cg00209951,Red,T
cg00210842,Red,A
cg00211661,Grn,C
cg00212549,Red,T
cg00213044,Red,A
cg00213331,Grn,C
cg00213714,Grn,C
cg00214346,Grn,C
cg00214794,Grn,C
cg00214855,Grn,C
cg00215066,Red,T
cg00216361,Red,T
cg00216758,Grn,C
cg00217795,Grn,C
cg00221494,Grn,C
cg00223186,Red,T
cg00223950,Grn,C
cg00224234,Grn,C
cg00224508,Grn,C
cg00226904,Red,A
cg00226923,Red,T
cg00228799,Grn,C
cg00229387,Grn,C
cg00230271,Red,T
cg00230368,Grn,C
cg00230502,Grn,C
cg00230685,Red,T
cg00231140,Red,T
cg00231644,Red,T
cg00231920,Grn,C
cg00233307,Red,T
cg00234616,Red,T
cg00234961,Red,T
cg00236832,Red,A
cg00237010,Grn,C
cg00238052,Grn,C
cg00239071,Red,A
cg00239419,Red,T
cg00239685,Grn,C
cg00240312,Grn,C
cg00240432,Red,T
cg00240880,Grn,C
cg00241355,Grn,C
cg00242839,Grn,C
cg00243313,Grn,C
cg00245878,Grn,C
cg00247489,Red,T
cg00250430,Grn,C
cg00253200,Grn,C
cg00256074,Red,A
cg00256166,Red,T
cg00256281,Red,T
cg00259755,Grn,C
cg00260778,Red,T
cg00261552,Grn,C
cg00261781,Grn,C
cg00262415,Grn,C
cg00263723,Red,T
cg00263760,Grn,C
cg00265415,Grn,C
cg00265490,Red,T
cg00268009,Grn,C
cg00268338,Grn,C
cg00269115,Red,T
cg00269932,Red,T
cg00273068,Grn,C
cg00273124,Grn,C
cg00274399,Grn,C
cg00275232,Red,A
cg00276797,Red,T
cg00278366,Grn,C
cg00279797,Grn,C
cg00280814,Red,T
cg00280894,Red,T
cg00282347,Grn,C
cg00282683,Grn,C
cg00283535,Red,A
cg00288562,Red,T
cg00290028,Grn,C
cg00290506,Grn,C
cg00291877,Red,T
cg00292662,Grn,C
cg00292971,Red,T
cg00293409,Grn,C
cg00294382,Grn,C
cg00295206,Grn,C
cg00295325,Red,A
cg00296685,Grn,C
cg00297584,Grn,C
cg00297600,Red,T
cg00298357,Red,A
cg00298951,Red,T
cg00301864,Grn,C
cg00302793,Grn,C
cg00303548,Red,T
cg00304278,Red,T
cg00307685,Grn,C
cg00308133,Red,T
cg00308665,Red,T
cg00309056,Grn,C
cg00309204,Red,T
cg00311768,Red,A
cg00312919,Grn,C
cg00314943,Grn,C
cg00315936,Grn,C
cg00317680,Red,T
cg00318573,Grn,C
cg00318865,Grn,C
cg00319692,Grn,C
cg00319761,Grn,C
cg00320243,Grn,C
cg00321065,Red,T
cg00321478,Grn,C
cg00323915,Red,T
cg00324733,Grn,C
cg00325491,Red,T
cg00327185,Red,A
cg00327483,Red,A
cg00328227,Grn,C
cg00331237,Grn,C
cg00331433,Grn,C
cg00332153,Grn,C
cg00332745,Grn,C
